t,current_ua,voltage_mv,batt_dc,aoss_mc,cpuss_mc
0,-2400000,4018,258,35200,38400
1,-2400000,4018,258,34100,36400
2,-2400000,4018,258,33700,35600
3,-2400000,4018,258,33700,40700
4,-2400000,4018,258,38400,50000
5,-2400000,4018,258,39900,55000
6,-2400000,4018,258,44900,99600
7,-2400000,4018,258,48800,101200
8,-2400000,4018,258,51500,101200
9,-2400000,4018,258,55800,99600
10,-2400000,4018,258,57700,95400
11,-2400000,4018,258,59300,96500
12,-2400000,4018,258,60100,96100
13,-2400000,4018,258,60500,75200
14,-2400000,4018,258,51900,56600
