t,current_ua,voltage_mv,batt_dc,aoss_mc,cpuss_mc
0,-263281,4073,258,27500,30200
1,-263281,4073,258,27100,29400
2,-263281,4073,258,27100,29400
3,-263281,4073,258,27500,29400
4,-263281,4073,258,27100,29800
5,-263281,4073,258,27500,31800
6,-263281,4073,258,27500,30600
7,-263281,4073,258,27500,30600
8,-263281,4073,258,27500,29800
9,-263281,4073,258,27500,29800
10,-263281,4073,258,27500,29400
11,-263281,4073,258,27500,29800
12,-263281,4073,258,27500,29800
13,-263281,4073,258,27500,30200
14,-263281,4073,258,27500,30200
15,-263281,4073,258,27100,29800
16,-263281,4073,258,27500,29800
17,-263281,4073,258,27500,30600
18,-263281,4073,258,27500,29800
19,-263281,4073,258,27500,31000
