t,current_ua,voltage_mv,batt_dc,aoss_mc,cpuss_mc
0,-263281,4073,258,27100,30600
1,-263281,4073,258,27500,30200
2,-263281,4073,258,27500,29400
3,-263281,4073,258,27900,36400
4,-263281,4073,258,33700,48800
5,-263281,4073,258,36800,53100
6,-263281,4073,258,41800,50800
7,-263281,4073,258,43000,44900
8,-2400000,4018,258,44600,45300
9,-2400000,4018,258,44600,50800
10,-2400000,4018,258,44600,46100
11,-2400000,4018,258,45700,46900
12,-2400000,4018,258,45700,43800
13,-2400000,4018,258,45700,46500
14,-2400000,4018,258,40700,41500
15,-2400000,4018,258,37600,39500
