t,current_ua,voltage_mv,batt_dc,aoss_mc,cpuss_mc
0,-38281,4080,281,30600,36800
1,-4687,4081,281,30200,38000
2,-4687,4081,280,29800,34900
3,-71875,4081,280,30600,41500
4,-94531,4080,280,31000,46100
5,-78906,4080,279,31400,44900
6,-82031,4080,279,31400,43000
7,-74218,4078,279,31400,34900
8,-86718,4078,279,31400,37600
9,-82031,4078,279,31400,38400
10,-74218,4079,279,40300,93800
11,-74218,4079,279,46500,101200
12,-74218,4079,279,49600,102000
13,-74218,4079,279,52700,100400
14,-4700781,3978,279,54600,101600
15,-4700781,3978,279,57000,94200
16,-4700781,3978,279,57700,97300
17,-4700781,3978,279,58500,100000
18,-4700781,3978,279,58900,101600
19,-4700781,3978,279,60100,100000
20,-4700781,3978,279,58500,83700
21,-4700781,3978,279,57700,81000
22,2807031,4138,283,57400,79100
23,2807031,4138,283,57400,80200
24,2807031,4138,283,57400,79900
25,2807031,4138,283,57400,81000
26,2807031,4138,283,57400,81400
27,2807031,4138,283,56600,79900
28,2807031,4138,283,57400,86400
29,2807031,4138,283,59300,91500
30,2807031,4138,283,60500,92700
31,2188281,4138,288,61600,94200
32,2188281,4138,288,62000,95000
33,2188281,4138,288,62800,96500
34,2188281,4138,288,63600,96500
35,2188281,4138,288,63600,96900
36,2188281,4138,288,63600,97300
37,2188281,4138,288,63600,93400
38,2188281,4138,288,62000,81000
39,2188281,4138,288,60100,78300
40,3547656,4173,294,59300,81400
41,3547656,4173,294,59700,84500
42,3547656,4173,294,59700,78700
43,3547656,4173,294,59300,83300
44,3547656,4173,294,60100,84100
45,3547656,4173,294,58900,77900
46,3547656,4173,294,58100,75600
47,3547656,4173,294,58900,83000
48,3547656,4173,294,59300,83300
49,3547656,4173,294,59700,84500
50,2775000,4167,299,60100,84500
51,2775000,4167,299,60100,85300
52,2775000,4167,299,60100,84500
53,2775000,4167,299,60500,85300
54,2775000,4167,299,60800,85300
55,2775000,4167,299,60500,85300
56,2775000,4167,299,60100,78700
57,2775000,4167,299,59300,76800
58,2775000,4167,299,58900,75200
59,3617968,4190,304,58500,75600
60,3617968,4190,304,58100,75200
61,3617968,4190,304,57700,75600
62,3617968,4190,304,57400,74800
63,3617968,4190,304,57000,74400
64,3617968,4190,304,57400,70900
65,3617968,4190,304,60500,79900
66,3617968,4190,304,62400,81800
67,3617968,4190,304,64000,83700
68,2057812,4163,308,65100,86100
69,2057812,4163,308,65900,88800
70,2057812,4163,308,66300,86800
71,2057812,4163,308,67100,87200
72,2057812,4163,308,67400,87600
73,2057812,4163,308,68200,88000
74,2057812,4163,308,68200,86400
75,2057812,4163,308,67400,85700
76,2057812,4163,308,67400,85700
77,2057812,4163,308,67400,85300
78,2645312,4174,312,67800,85700
79,2645312,4174,312,67800,86100
80,2645312,4174,312,67800,86100
81,2645312,4174,312,68200,86400
82,2645312,4174,312,68200,86400
83,2645312,4174,312,68200,86800
84,2645312,4174,312,68600,87200
85,2645312,4174,312,69000,87200
86,2645312,4174,312,69400,87600
87,2370312,4172,317,70500,95000
88,2370312,4172,317,71300,93400
89,2370312,4172,317,71700,94200
90,2370312,4172,317,72500,97300
91,2370312,4172,317,72500,93000
92,2370312,4172,317,72100,86800
93,2370312,4172,317,71700,86100
94,2370312,4172,317,70900,85300
95,2370312,4172,317,70900,84100
96,-2548437,4177,322,71300,89600
97,-2548437,4177,322,72100,91100
98,-2548437,4177,322,71300,85700
99,-2548437,4177,322,72100,88800
100,-2548437,4177,322,71700,88000
101,-2548437,4177,322,71300,84500
102,-2548437,4177,322,70500,84500
103,-2548437,4177,322,70500,84500
104,-2548437,4177,322,70500,84500
105,-1009375,4082,327,70900,88400
106,-1009375,4082,327,71700,91100
107,-1009375,4082,327,70900,86100
108,-1009375,4082,327,71700,89900
109,-1009375,4082,327,72900,90700
110,-1009375,4082,327,72100,86100
111,-1009375,4082,327,70900,83000
112,-1009375,4082,327,69800,81000
113,-1009375,4082,327,70200,83000
114,-845312,4076,331,69800,83300
115,-845312,4076,331,69800,83000
116,-845312,4076,331,69800,83300
117,-845312,4076,331,69400,83300
118,-845312,4076,331,69800,83700
119,-845312,4076,331,69800,84900
120,-845312,4076,331,69800,85300
121,-845312,4076,331,69800,84500
122,-922656,4068,335,69800,84100
123,-922656,4068,335,69800,85300
124,-922656,4068,335,69800,85300
125,-922656,4068,335,68600,81800
126,-922656,4068,335,68600,83700
127,-922656,4068,335,69400,84500
128,-922656,4068,335,69400,83700
129,-922656,4068,335,69800,83300
130,-928125,4065,338,69400,83700
