t,current_ua,voltage_mv,batt_dc,aoss_mc,cpuss_mc
0,-94531,4090,267,36000,49200
152,-76562,4089,267,32900,39500
1,-92187,4089,267,32900,39900
153,-92187,4089,268,33700,38000
2,-92187,4089,268,32900,37200
154,-74218,4089,268,32100,39100
3,-670312,4089,268,32900,40300
155,-89062,4089,268,32500,38700
4,-89062,4089,268,32500,46900
156,-89843,4088,268,34500,56600
5,-84375,4088,268,33300,47700
157,-76562,4087,268,32900,49200
6,-232812,4086,268,32900,46500
158,-94531,4087,268,36400,55000
7,-94531,4087,268,34500,45700
159,-86718,4087,269,33700,48400
8,-94531,4087,269,33700,50400
160,-92187,4087,269,33300,40700
9,-158593,4087,269,33300,39100
161,-864843,4087,269,33300,39900
10,-142968,4087,269,33300,47700
162,-86718,4087,269,36400,44900
11,-86718,4087,269,41800,49600
163,-3442187,4009,270,51200,45700
12,-3728906,4007,270,52300,46100
164,-107031,4076,270,47300,45700
13,-107031,4076,270,51900,48800
165,-3666406,3999,270,44900,46500
14,-3445312,4002,271,50400,54600
166,-104687,4076,272,41500,55800
15,-92187,4076,272,40300,44600
167,-92187,4078,273,38000,43800
16,-107031,4079,273,36800,44200
168,-78906,4081,274,36400,41800
17,-696093,4081,274,36000,42600
169,-176562,4079,275,36000,41800
18,-176562,4079,275,36800,39500
170,-82031,4083,275,35600,42600
19,-89062,4083,275,35600,41500
171,-92187,4082,275,35200,42200
20,-84375,4082,275,35200,42600
172,-130468,4082,275,34900,41100
21,-130468,4082,275,34500,38700
173,-78906,4082,275,35600,40300
22,-286718,4079,275,35200,40300
174,-78906,4083,276,35600,39100
23,-78906,4083,276,34900,41100
175,-375781,4083,276,35600,45700
24,-375781,4083,276,35600,39500
176,-86718,4083,276,34500,55800
25,-86718,4083,276,34500,53500
26,-82031,4083,276,34900,42200
177,-82031,4083,276,35200,41100
178,-82031,4083,276,36000,41100
27,-82031,4083,276,35600,39100
28,-84375,4083,276,34900,44200
179,-84375,4082,276,34500,45300
180,-89843,4082,276,34900,54300
29,-89843,4082,276,34900,52300
181,-89843,4082,277,35600,43000
30,-89843,4082,277,35200,42600
182,-82031,4082,277,35200,41800
31,-82031,4082,277,35200,41500
32,-92187,4082,277,35600,40700
183,-435156,4082,277,35600,37600
33,-84375,4082,277,34500,40300
184,-84375,4082,277,34900,40700
34,-335156,4082,277,34500,48800
185,-335156,4082,277,34500,44200
35,-92187,4082,277,34100,46100
186,-92187,4082,277,34500,41800
36,-204687,4080,277,34500,46500
187,-78906,4081,277,35200,40300
37,-86718,4082,277,33700,47300
188,-74218,4082,277,34100,49200
38,-84375,4082,278,34500,49200
189,-89843,4081,278,34900,48800
39,-94531,4082,278,34900,40700
190,-132812,4080,278,34900,40300
40,-166406,4080,278,35200,39500
191,-1142968,4081,278,35200,39900
41,-64062,4080,278,34500,39500
192,-82031,4080,278,34100,50400
42,-84375,4081,278,34900,40700
193,-375781,4081,278,34500,41800
43,-743750,4080,278,35600,47700
194,-89843,4080,278,35600,42200
44,-84375,4080,278,34100,39500
195,-309375,4080,278,34500,40700
45,-89843,4080,278,35200,40300
196,-196875,4078,279,34900,39900
46,-92187,4080,279,35600,39900
197,-92187,4080,279,35600,41500
47,-89843,4080,279,35600,39900
198,-89843,4080,279,34100,48400
48,-371093,4074,279,36800,43800
199,-78906,4079,279,34900,39500
49,-84375,4079,279,34500,40700
200,-82031,4079,279,35200,41500
50,-938281,4079,279,37600,40700
201,-100000,4078,279,36400,40700
51,-78906,4077,279,36400,50800
202,-86718,4077,280,34500,41800
52,-2223437,4039,280,39500,43000
203,-309375,4073,280,36800,41500
53,-94531,4077,280,34500,41100
204,-89843,4077,280,37200,41500
54,-207031,4075,280,35200,48400
205,-386718,4073,280,35200,40700
55,-92187,4077,280,36400,41800
206,-84375,4078,281,34900,53900
56,-104687,4077,281,35200,45700
207,-281250,4075,281,36400,41100
57,-281250,4075,281,36000,39900
208,-84375,4077,281,36400,49600
58,-84375,4077,281,36400,49600
209,-96875,4077,281,35200,51900
59,-78906,4077,281,35200,53500
60,-94531,4077,281,38400,42200
210,-94531,4077,281,38400,42200
61,-86718,4076,281,38000,43800
211,-86718,4076,281,37200,44200
62,-128125,4076,281,39100,43000
212,-128125,4076,281,39100,42600
213,-94531,4076,282,36800,51500
63,-94531,4076,282,37200,50800
64,-529687,4076,282,34900,56200
214,-529687,4076,282,34900,54600
65,-84375,4076,282,36800,41500
215,-84375,4076,282,34500,41500
66,-84375,4075,282,34100,41500
216,-61718,4077,282,34100,41100
217,-64062,4077,282,33300,42600
67,-64062,4077,282,33300,44900
218,-366406,4071,282,32900,40300
68,-366406,4071,282,32900,40300
219,-135156,4076,282,32500,35600
