t,current_ua,voltage_mv,batt_dc,aoss_mc,cpuss_mc
0,-330468,4105,245,25900,30200
1,-15625,4112,245,25600,28300
2,-12500,4112,245,25600,29800
3,-92187,4110,245,26300,31400
4,-76562,4110,245,27100,48800
5,-289062,4105,246,29400,56200
6,-289062,4105,246,31400,50000
7,-289062,4105,246,30200,46100
8,-74218,4107,246,36000,42600
9,-94531,4102,246,41800,39500
10,-2028906,4051,246,49200,40700
11,-3978906,4005,247,38700,40300
12,-86718,4097,248,35200,40700
13,-212500,4096,249,37600,39900
14,-212500,4096,249,40300,39100
15,-1392187,4067,250,41800,44900
16,-86718,4098,251,33700,38700
17,-86718,4100,251,33300,39100
18,-84375,4100,252,32100,38700
19,-274218,4100,252,31800,36000
20,-84375,4102,253,31800,36800
21,-78906,4102,253,31400,38000
22,-68750,4102,253,31000,38000
23,-125000,4102,254,31400,36000
24,-71875,4102,254,32900,37200
25,-82031,4101,254,32900,39500
26,-76562,4101,254,40700,52700
27,-76562,4101,254,43400,46100
28,-76562,4101,254,45300,46500
29,-76562,4101,254,46100,48800
30,-76562,4101,254,46900,58900
31,-76562,4101,254,47300,48800
32,-76562,4101,254,48000,57000
33,-76562,4101,254,49600,51200
34,-76562,4101,254,49600,51900
35,-76562,4101,254,50000,57400
36,-76562,4101,254,50800,49600
37,-76562,4101,254,50800,52300
38,-76562,4101,254,50800,50400
39,-76562,4101,254,51200,50800
40,-76562,4101,254,51900,51500
41,-76562,4101,254,51200,49200
42,-519531,4082,260,39900,45700
43,-84375,4090,262,36800,41500
44,-86718,4092,262,34900,40300
45,-92187,4093,263,34500,41500
46,-82031,4095,263,33700,38000
47,-2102343,4057,263,38400,38700
48,-2102343,4057,263,41500,42200
49,-92187,4093,264,35200,41100
50,-138281,4092,264,36800,39900
51,-100000,4093,264,38000,39100
52,-92187,4093,264,35200,39100
53,-89843,4094,265,33700,37600
54,-100000,4096,265,33300,40700
55,-76562,4096,265,32900,39100
56,-76562,4096,265,33300,39500
57,-84375,4097,265,32900,37600
58,-130468,4097,265,33700,39500
59,-130468,4097,265,39100,39100
60,-96875,4094,265,33700,38700
61,-82031,4097,266,32900,38400
62,-86718,4095,266,32900,39900
63,-89843,4096,266,32500,40700
64,-94531,4096,266,32500,37200
65,-78906,4096,266,32500,37200
66,-94531,4096,266,32500,37200
67,-120312,4095,266,37600,41800
68,-110156,4094,266,35600,39500
69,-82031,4095,266,33300,38700
70,-71875,4096,267,32500,37600
71,-96875,4096,267,32500,39500
72,-86718,4096,267,32100,38700
73,-84375,4096,267,32500,36000
74,-84375,4097,267,32500,39900
75,-82031,4095,267,32900,39100
76,-89843,4095,267,32900,36400
77,-86718,4095,267,32500,38700
78,-82031,4095,267,32500,38400
79,-84375,4095,267,30600,33300
80,-20312,4097,267,29400,33300
81,-10156,4098,267,29000,35200
82,-7812,4099,267,29000,32900
83,-15625,4099,267,28700,32500
84,-40625,4099,266,28700,32500
85,-82031,4097,266,28700,34500
86,-7812,4099,266,28700,33300
