1786070502| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070503| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070505| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070506| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070507| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070508| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070509| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070510| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070511| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070512| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070513| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070514| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070515| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070516| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070517| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070518| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070519| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070520| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070521| level: 90| voltage: 4323| temperature: 276| current now: -130468| charge counter: 4457125|
1786070522| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070523| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070525| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070526| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070527| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070528| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070529| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070530| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070531| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070532| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070533| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070534| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070535| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070536| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070537| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070538| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070539| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070540| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070541| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070542| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070543| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070545| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070546| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070547| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070548| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070549| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070550| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070551| level: 90| voltage: 4322| temperature: 275| current now: -140625| charge counter: 4457125|
1786070552| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070553| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070554| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070555| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070556| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070557| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070558| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070559| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070560| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070561| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070562| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070563| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070565| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070566| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070567| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070568| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070569| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070570| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070571| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070572| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070573| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070574| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070575| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070576| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070577| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070578| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070579| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070580| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
