1786075788| level: 78| voltage: 4157| temperature: 308| current now: -189062| charge counter: 3846425|
1786075789| level: 78| voltage: 4157| temperature: 308| current now: -189062| charge counter: 3846425|
1786075790| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075791| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075792| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075793| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075794| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075795| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075796| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075797| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075798| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075799| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075800| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075801| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075802| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075803| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075804| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075806| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075807| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075808| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075809| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075810| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075811| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075812| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075813| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075814| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075815| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075816| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
1786075817| level: 78| voltage: 4157| temperature: 305| current now: -353125| charge counter: 3846425|
