
"(PDH-CSV 4.0)","\\QCWORKSHOP4\Processor(_Total)\% Processor Time"
"08/06/2026 20:11:04.671","2.974455"
"08/06/2026 20:11:05.672","5.318360"
"08/06/2026 20:11:06.676","8.599160"
"08/06/2026 20:11:07.678","6.246939"
"08/06/2026 20:11:08.693","5.811181"
"08/06/2026 20:11:09.708","50.711232"
"08/06/2026 20:11:10.709","4.741997"
"08/06/2026 20:11:11.724","20.346700"
"08/06/2026 20:11:12.726","21.099643"
"08/06/2026 20:11:13.728","26.812525"
"08/06/2026 20:11:14.730","23.578597"
"08/06/2026 20:11:15.730","21.516713"
"08/06/2026 20:11:16.736","19.723781"
"08/06/2026 20:11:17.751","19.086981"
"08/06/2026 20:11:18.752","18.818396"
"08/06/2026 20:11:19.767","20.057852"
"08/06/2026 20:11:20.777","33.123435"
"08/06/2026 20:11:21.784","32.807854"
"08/06/2026 20:11:22.794","32.666308"
"08/06/2026 20:11:23.796","20.887808"
"08/06/2026 20:11:24.813","21.017362"
"08/06/2026 20:11:25.815","19.521039"
"08/06/2026 20:11:26.831","22.226505"
"08/06/2026 20:11:27.845","18.815229"
"08/06/2026 20:11:28.852","29.898540"
"08/06/2026 20:11:29.857","27.101140"
"08/06/2026 20:11:30.870","21.712489"
"08/06/2026 20:11:31.876","19.704444"
"08/06/2026 20:11:32.877","22.508557"
"08/06/2026 20:11:33.880","19.698197"
"08/06/2026 20:11:34.895","22.891121"
"08/06/2026 20:11:35.909","20.688695"
"08/06/2026 20:11:36.925","20.664596"
"08/06/2026 20:11:37.928","21.248338"
"08/06/2026 20:11:38.942","21.366759"
"08/06/2026 20:11:39.957","21.067309"
"08/06/2026 20:11:40.960","24.226539"
"08/06/2026 20:11:41.966","23.891321"
"08/06/2026 20:11:42.980","30.447358"
"08/06/2026 20:11:43.982","21.265321"
"08/06/2026 20:11:44.997","19.163481"
"08/06/2026 20:11:46.005","18.365051"
"08/06/2026 20:11:47.020","21.787559"
